epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
77,274.798,0.4215,0.41794,0.3912,0.85797,0,0.99051,1,0.995,0.94192,0.99051,1,0.995,0.8848,0.35385,0.33996,0.31385,0.79996,0,0.000412749,0.000412749,0.000412749
78,278.134,0.43731,0.43923,0.40759,0.88138,0,0.99329,1,0.995,0.93458,0.99329,1,0.995,0.88941,0.36357,0.34099,0.31774,0.80051,0,0.000396246,0.000396246,0.000396246
79,281.523,0.41764,0.4316,0.39389,0.89062,0,0.9866,1,0.995,0.94036,0.9866,1,0.995,0.88397,0.36328,0.34545,0.31841,0.78949,0,0.000379743,0.000379743,0.000379743
80,284.992,0.41842,0.42112,0.39979,0.88012,0,0.96951,1,0.995,0.94175,0.96951,1,0.995,0.88327,0.35008,0.34785,0.31286,0.78601,0,0.000363239,0.000363239,0.000363239
81,288.236,0.44666,0.45271,0.36825,0.91092,0,0.9417,1,0.995,0.93787,0.9417,1,0.995,0.88892,0.34773,0.35194,0.29881,0.78581,0,0.000346736,0.000346736,0.000346736
82,291.457,0.46999,0.42312,0.44601,0.88294,0,0.93732,1,0.995,0.9424,0.93732,1,0.995,0.89626,0.32693,0.33499,0.29005,0.77946,0,0.000330233,0.000330233,0.000330233
83,294.679,0.38099,0.39694,0.3705,0.88712,0,0.93542,1,0.98833,0.95192,0.93542,1,0.98833,0.90373,0.32091,0.3171,0.28981,0.77645,0,0.000313729,0.000313729,0.000313729
84,298.169,0.37486,0.38832,0.32762,0.85147,0,0.93642,1,0.995,0.96489,0.93642,1,0.995,0.90127,0.32059,0.3147,0.30039,0.77722,0,0.000297226,0.000297226,0.000297226
85,301.62,0.40038,0.3967,0.34769,0.86771,0,0.93781,1,0.995,0.96811,0.93781,1,0.995,0.90608,0.3233,0.31466,0.31818,0.78238,0,0.000280723,0.000280723,0.000280723
86,305.036,0.38277,0.4727,0.36112,0.87768,0,0.97777,0.96837,0.995,0.97862,0.97777,0.96837,0.995,0.90629,0.32095,0.31478,0.30967,0.78239,0,0.00026422,0.00026422,0.00026422
